"Zaman damgası","Your department (e.g., CMPE)","Level (e.g., Bachelor/Masters)","Years completed in the program (e.g., 2nd year)","Age","Gender","Prior general experience with Augmented Reality (AR)","Prior experience with any robotics software/hardware development","Prior experience with robotic arms","If any, please elaborate on your previous experience(s) related to robotics and/or AR.","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this tool were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.
","I needed to learn a lot of things before I could get going with this system.","I think that I would like to use the method of kinesthetic teaching frequently.","I found the method of kinesthetic teaching unnecessarily complex.","I thought the method of kinesthetic teaching was easy.","I think that I would need the support of a technical person to do kinesthetic teaching.","I would imagine that most people would learn the method of kinesthetic teaching very quickly.","I found the method of kinesthetic teaching very cumbersome.","I felt very confident while doing kinesthetic teaching.
","I needed to learn a lot of things before I could get going with the method of kinesthetic teaching.","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","Mental Demand: How much mental and perceptual activity was required while using RAMPA?
(Was the task easy or demanding, simple or complex?)","Physical Demand: How much physical activity was required while using RAMPA? (Was the task easy or demanding, slack or strenuous?)","Temporal Demand: How much time pressure did you feel due to the pace at which the tasks or task elements occurred while using RAMPA? (Was the pace slow or rapid?)","Own Performance: How successful were you in performing the task while using RAMPA? (How satisfied were you with your performance?)","Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance while using RAMPA?","Frustration Level: How irritated, stressed, and annoyed (versus content, relaxed, and complacent) did you feel during the task while using RAMPA?","Mental Demand: How much mental and perceptual activity was required while doing kinesthetic teaching?
(Was the task easy or demanding, simple or complex?)","Physical Demand: How much physical activity was required while doing kinesthetic teaching? (Was the task easy or demanding, slack or strenuous?)","Temporal Demand: How much time pressure did you feel due to the pace at which the tasks or task elements occurred while doing kinesthetic teaching? (Was the pace slow or rapid?)","Own Performance: How successful were you in performing the task while doing kinesthetic teaching? (How satisfied were you with your performance?)","Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance while doing kinesthetic teaching?","Frustration Level: How irritated, stressed, and annoyed (versus content, relaxed, and complacent) did you feel during the task while doing kinesthetic teaching?","Was the tool flexible in allowing iterations to your trajectory?","Did you have to make a lot adjustments before arriving at the desired result?","In the end, how much progress did you feel you made in learning to use this tool effectively?","Which approach is more safe?","Which approach would you prefer to use in the future if you were to record data for robotics?","What did you like most about using the tool?","Was the robot realistic (in terms of appearance and movement) in AR?","What challenges did you face while using the tool?","What aspects of the tool would you most like to see improved?","Considering the current capabilities and limitations, would you use this tool for future projects?","Would you recommend this tool to other students?","Any additional comments or feedback?"
"2024/09/25 6:33:34 ÖS GMT+3","CMPE","Bachelor","2nd year","21","Male","None","None","1","None","4","1","4","3","4","2","4","3","3","2","4","2","3","4","3","2","3","1","5","5","6","6","7","6","4","4","3","4","5","6","2","1","4","4","5","6","2","1","4","","4","AR system","AR system","Drawing trajectories","4","Adapting to AR","I'm satisfied with its current version","4","5","It was a great experience"
"2024/09/25 6:51:34 ÖS GMT+3","CMPE","Masters","7th year","36","Male","None","Advanced","5","I have been studying robotics for more than ten years. I have no prior experience in AR.","5","2","4","1","5","2","5","2","4","1","3","3","2","2","1","4","3","1","7","6","7","6","7","7","7","6","4","2","2","9","3","2","8","8","3","8","7","9","2","1","4","AR system","Manually moving the robot by hand (kinesthetic teaching)","Despite my experience in the domain, it is intimidating even for me to manually control robotic manipulators, especially industrial ones, as they are heavy and expensive. RAMPA simplifies the data collection part of LfD and speeds up my research.","4","Aligning the simulated robot with the actual one was difficult. Also, it didn't recognize my pinch in the first attempt.","When visualizing learned trajectories, I'd like RAMPA to show any probable collisions with the objects in the configuration space of the manipulator.","5","5","Good work."
"2024/09/25 7:42:46 ÖS GMT+3","SCO","Masters","3rd year","28","Male","None","Intermediate","2","In terms of robot arms, I did get one course regarding programming a kuka robot arm. No AR experience whats so ever. ","4","2","4","3","4","2","4","1","3","2","2","1","3","2","4","5","3","1","5","7","4","6","6","6","5","5","6","3","2","7","5","4","5","8","7","6","7","4","4","2","3","AR system","AR system","It would enable to collect various trajectory data within a minimal time.","4","Simulation robot does occluded the real robot at some point of the test, task require me to see the real robot clearly to know if the trajectory was correct. ","Some trajectory needed to be drawn precisely, option to restrict drawing on some axis to constant values may help the user. Auto detecting the end points and prompting user to confrm for CNMP test may be convenient.","4","4","No comment."
"2024/09/25 8:58:19 ÖS GMT+3","EE","Fresh PhD student","0","26","Male","Beginner","Advanced","3","I am a research assistant working on robotics for 4 years. I worked on hardware and software development of aerial robots and mobile ground robots pertaining control, visual positioning and mapping problems. I have worked on robotic arms a little for tasks requiring high movement accuracy. ","4","2","4","1","4","1","5","1","4","1","3","1","4","2","5","1","4","1","5","6","6","5","5","5","3","4","3","3","3","8","4","4","4","6","6","8","7","4","4","1","4","AR system","AR system","Simulation capability improved my trust on the system by reducing the stress for unexpected results","4","I had to ask where to select in the AR application almost each time.  ","Application in the AR. ","4","4","Prior explanation regarding which part of the robot follows the desired trajectory would improve my experience during trajectory generation with AR. Application UI could be simpler, containing only necessary options for a user. I did not know how accurate my trajectories should be for the obstacle-avoid trajectory generation part, which increased my mental pressure. "
"2024/09/25 10:09:22 ÖS GMT+3","CMPE","Bachelor","4th year","22","Male","None","Beginner","1","I made a simple rc car that works with arduino.","4","1","5","2","4","2","4","1","3","1","2","4","2","5","2","4","2","4","6","5","6","5","7","7","6","6","4","2","5","9","4","2","6","9","4","7","6","4","5","2","5","AR system","AR system","The fact that you can see the robot following your trajectory when you are drawing it. You can see what your action will result in real time and adjust yourself for that.","5","Only the robot was simulated so I couldn't see it interacting with real world objects such as grabbing the chain and moving it.","If I draw the path slowly and carefully, the physical robot takes too long to follow it.
The GUI is sometimes unresponsive to clicks.","4","4","no"
"2024/09/26 12:37:22 ÖÖ GMT+3","Cmpe","Bachelor","4rd grade","22","Female","Beginner","Advanced","5","I work in colors lab","4","1","5","3","5","1","4","1","4","2","3","1","4","3","4","1","4","1","7","6","6","7","7","7","6","6","4","2","3","7","2","1","2","5","4","8","7","2","4","1","4","AR system","AR system","I had fun","5","Moving robotic simulation on top of the real one","Make aligning robot sim and real one automatic ","4","4","Nope"
"2024/09/26 12:48:57 ÖÖ GMT+3","CMPE","Bachelor","3nd year","20","Male","Advanced","Advanced","4","AR development","4","1","2","1","4","1","4","3","5","1","2","2","3","3","3","4","3","3","6","2","7","7","4","5","5","6","3","1","3","6","4","4","4","7","7","3","6","6","4","3","4","AR system","AR system","It makes it much faster to draw trajectories and requires no physical power at all instead of dragging the heavy robot itself, and is particularly more helpful in short and repetitive movements that are easy for the robot to do but would be hard if you dragged the robot hand yourself.","5","It fails much more frequently when the trajectory you draw is close to the limits of what the robot can do, in which case sometimes the trajectories often fail and you need to draw them a few times until you get a specific one that the robot can perform.","The thing I said in the challenge section. Maybe it can detect while drawing the trajectory that the final points on the line are not possible to go to, and warn you or even prevent you from going in that direction in real time instead of saying the trajectory failed and having you draw it from scratch.","4","4","no"
"2024/09/26 12:46:27 ÖS GMT+3","CMPE","bachelor","3rd year","21","Female","None","None","1","None","4","2","4","3","4","1","4","1","3","1","2","1","5","2","5","1","4","1","6","5","6","7","3","3","7","6","3","2","7","6","3","4","1","3","2","9","2","1","4","4","4","AR system","AR system","Doesn’t require any prior technical information to have while supporting the user.","5","Getting used to grippers.","Process of aligning the virtual robot with the real robot.","4","5","No"
"2024/09/26 4:45:30 ÖS GMT+3","CMPE","Bachelor","3rd year","21","Male","None","None","1","No","5","1","4","1","4","1","2","1","5","1","2","2","4","4","4","5","3","2","7","7","6","7","7","7","4","3","3","1","5","8","3","4","6","7","6","4","7","4","4","1","5","AR system","AR system","AR system","5","The grab interaction bugged out a bit.","Accessibility maybe","5","5","I want more variety and more excitement!"
"2024/09/27 8:06:19 ÖÖ GMT+3","CMPE","Bachelor","4th year","22","Male","None","None","1","None","5","2","4","3","4","2","4","2","3","2","2","3","3","2","4","2","3","2","5","5","6","5","5","6","6","5","3","3","2","8","3","2","2","4","3","5","5","2","3","1","4","AR system","AR system","AR integration is done seamlessly. It is easy to understand the trajectory of the robot.","2","The robot moves slower than that in the simulation.","None","4","4","None"
"2024/09/27 1:48:16 ÖS GMT+3","CMPE","Phd","5th year","32","F","None","Advanced","5","Research level reinforcement learning","5","1","5","1","5","1","5","1","5","1","2","3","3","1","3","5","3","1","7","7","7","7","7","7","7","7","2","1","2","9","1","1","5","8","7","5","5","5","5","1","5","AR system","AR system","The AR system was quick, easy to use, and made me feel safe throughout. Plus, I didn’t have to worry about damaging the robot. ","5","Issues with the headset not fitting properly on my head.","Problems with headset. ","5","5","
The project is outstanding."
